time,A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02,E02,F02,G02,H02,A03,B03,C03,D03,E03,F03,G03,H03,A04,B04,C04,D04,E04,F04,G04,H04,A05,B05,C05,D05,E05,F05,G05,H05,A06,B06,C06,D06,E06,F06,G06,H06,A07,B07,C07,D07,E07,F07,G07,H07,A08,B08,C08,D08,E08,F08,G08,H08,A09,B09,C09,D09,E09,F09,G09,H09,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
1,5.239,5.331,2.316,2.262,2.339,2.346,2.454,2.493,3.174,4.649,2.215,2.213,2.149,2.174,2.16,2.492,2.635,4.386,2.18,2.148,2.15,2.208,2.206,2.298,2.885,4.606,2.166,2.213,2.196,2.11,2.214,2.223,3.213,4.898,2.249,2.219,2.253,2.231,2.261,2.268,2.931,4.414,2.224,2.24,2.169,2.209,2.218,2.305,2.94,4.559,2.143,2.223,2.204,2.212,2.201,2.275,2.894,4.867,2.23,2.228,2.207,2.218,2.247,2.223,3.276,5.16,2.451,2.206,2.204,2.186,2.219,2.248,3.611,3.481,2.147,2.18,2.205,2.182,2.683,2.263,4.361,4.923,2.217,2.185,2.204,2.199,2.191,2.249,4.019,4.986,2.212,2.691,2.202,2.186,2.273,2.302
2,6.62,7.429,2.419,2.36,2.415,2.388,2.538,2.436,3.564,3.606,2.276,2.306,2.267,2.299,2.287,2.563,2.913,3.563,2.321,2.302,2.28,2.313,2.32,2.348,2.77,2.807,2.33,2.33,2.315,2.231,2.329,2.323,3.454,4.298,2.396,2.342,2.352,2.368,2.363,2.362,2.879,3.141,2.332,2.364,2.337,2.347,2.352,2.411,2.842,3.013,2.283,2.353,2.335,2.315,2.318,2.377,2.732,2.822,2.345,2.358,2.343,2.328,2.352,2.337,3.596,3.763,2.43,2.347,2.314,2.292,2.339,2.356,2.922,3.082,2.299,2.295,2.299,2.318,2.358,2.342,2.812,2.922,2.297,2.284,2.316,2.316,2.302,2.307,2.756,2.891,2.358,2.321,2.3,2.288,2.373,2.407
3,9.5,9.839,2.422,2.36,2.417,2.389,2.539,2.436,4.795,4.631,2.277,2.308,2.268,2.302,2.288,2.562,3.499,4.685,2.324,2.302,2.279,2.311,2.322,2.349,2.825,2.866,2.331,2.327,2.316,2.234,2.329,2.324,4.125,5.206,2.397,2.34,2.353,2.368,2.364,2.364,3.068,3.468,2.333,2.365,2.338,2.352,2.353,2.413,2.971,3.188,2.284,2.357,2.336,2.311,2.319,2.378,2.794,2.868,2.345,2.358,2.344,2.33,2.353,2.337,4.572,4.6,2.438,2.351,2.316,2.295,2.339,2.358,3.191,3.379,2.303,2.296,2.299,2.322,2.359,2.345,2.992,3.101,2.302,2.286,2.315,2.319,2.304,2.307,2.82,2.977,2.368,2.325,2.301,2.288,2.375,2.41
4,13.318,12.659,2.423,2.361,2.417,2.39,2.536,2.442,5.965,5.678,2.279,2.308,2.267,2.302,2.288,2.551,4.091,5.826,2.323,2.302,2.28,2.307,2.321,2.347,2.882,2.924,2.335,2.328,2.315,2.233,2.329,2.323,4.828,6.267,2.401,2.343,2.355,2.367,2.365,2.365,3.272,3.8,2.336,2.365,2.339,2.352,2.351,2.413,3.115,3.375,2.288,2.359,2.335,2.31,2.317,2.376,2.847,2.925,2.347,2.361,2.344,2.331,2.354,2.337,5.54,5.592,2.448,2.352,2.318,2.296,2.341,2.359,3.471,3.681,2.304,2.296,2.297,2.322,2.361,2.344,3.169,3.294,2.304,2.288,2.314,2.319,2.303,2.306,2.875,3.042,2.37,2.325,2.301,2.288,2.376,2.413
5,17.057,16.164,2.424,2.36,2.417,2.389,2.533,2.442,7.123,6.704,2.28,2.307,2.269,2.303,2.289,2.548,4.759,6.973,2.324,2.302,2.28,2.303,2.323,2.349,2.949,2.992,2.332,2.328,2.314,2.234,2.325,2.324,5.519,7.323,2.399,2.342,2.355,2.366,2.365,2.364,3.475,4.13,2.337,2.367,2.337,2.355,2.351,2.413,3.264,3.572,2.289,2.357,2.338,2.307,2.317,2.377,2.919,2.992,2.348,2.358,2.345,2.332,2.355,2.337,6.486,6.568,2.449,2.352,2.317,2.296,2.34,2.359,3.75,3.986,2.305,2.296,2.296,2.322,2.361,2.343,3.351,3.497,2.306,2.289,2.312,2.32,2.303,2.305,2.936,3.12,2.374,2.326,2.301,2.287,2.378,2.413
6,20.217,19.404,2.424,2.36,2.418,2.389,2.533,2.444,8.241,7.722,2.28,2.31,2.269,2.302,2.288,2.538,5.3,8.065,2.326,2.302,2.279,2.304,2.321,2.347,3.023,3.067,2.336,2.328,2.316,2.236,2.324,2.322,6.192,8.354,2.401,2.345,2.357,2.366,2.364,2.366,3.676,4.467,2.338,2.366,2.338,2.354,2.351,2.412,3.417,3.774,2.29,2.358,2.337,2.307,2.317,2.375,2.992,3.062,2.349,2.358,2.342,2.331,2.355,2.336,7.405,7.517,2.452,2.353,2.318,2.296,2.341,2.36,4.027,4.282,2.307,2.296,2.296,2.322,2.363,2.344,3.531,3.694,2.308,2.289,2.311,2.32,2.3,2.303,3.003,3.201,2.378,2.326,2.301,2.287,2.377,2.415
7,22.602,22.28,2.426,2.36,2.418,2.39,2.533,2.444,9.325,8.674,2.281,2.309,2.27,2.302,2.288,2.535,5.832,9.128,2.326,2.303,2.28,2.303,2.321,2.347,3.103,3.15,2.334,2.327,2.314,2.234,2.324,2.323,6.844,9.342,2.403,2.345,2.357,2.367,2.366,2.366,3.875,4.792,2.339,2.368,2.34,2.355,2.352,2.411,3.57,3.975,2.292,2.359,2.338,2.306,2.316,2.375,3.066,3.141,2.349,2.357,2.343,2.332,2.355,2.339,8.296,8.43,2.455,2.353,2.318,2.297,2.342,2.359,4.292,4.583,2.309,2.297,2.297,2.324,2.366,2.341,3.71,3.89,2.308,2.29,2.311,2.32,2.301,2.305,3.075,3.29,2.378,2.326,2.302,2.288,2.38,2.414
8,24.407,24.894,2.425,2.359,2.417,2.387,2.532,2.444,10.385,9.62,2.282,2.307,2.268,2.302,2.288,2.536,6.354,10.159,2.327,2.302,2.277,2.302,2.322,2.347,3.19,3.241,2.335,2.327,2.313,2.234,2.324,2.321,7.466,10.299,2.402,2.343,2.353,2.362,2.363,2.364,4.079,5.121,2.34,2.367,2.336,2.353,2.352,2.41,3.724,4.179,2.292,2.358,2.336,2.306,2.315,2.373,3.161,3.226,2.35,2.359,2.342,2.329,2.355,2.336,9.172,9.309,2.455,2.353,2.315,2.295,2.34,2.358,4.561,4.888,2.31,2.296,2.295,2.32,2.366,2.343,3.889,4.099,2.31,2.291,2.31,2.318,2.3,2.303,3.156,3.386,2.38,2.326,2.3,2.286,2.379,2.414
9,24.914,26.493,2.425,2.36,2.418,2.388,2.531,2.442,11.358,10.522,2.281,2.308,2.268,2.303,2.29,2.537,6.842,11.159,2.327,2.302,2.279,2.304,2.32,2.347,3.285,3.336,2.338,2.329,2.316,2.234,2.324,2.321,8.062,11.19,2.403,2.344,2.354,2.364,2.364,2.367,4.284,5.441,2.34,2.366,2.337,2.354,2.35,2.41,3.881,4.386,2.293,2.358,2.336,2.307,2.315,2.373,3.246,3.319,2.352,2.361,2.344,2.33,2.356,2.336,9.966,10.131,2.459,2.355,2.318,2.296,2.341,2.358,4.818,5.186,2.31,2.295,2.298,2.322,2.363,2.341,4.065,4.307,2.31,2.292,2.312,2.319,2.301,2.302,3.243,3.489,2.382,2.327,2.301,2.286,2.379,2.413
10,25.23,27.622,2.426,2.361,2.417,2.388,2.532,2.443,12.287,11.387,2.282,2.307,2.267,2.301,2.29,2.535,7.31,12.093,2.327,2.302,2.278,2.3,2.318,2.347,3.387,3.438,2.335,2.33,2.315,2.232,2.322,2.322,8.631,12.022,2.403,2.344,2.356,2.364,2.364,2.369,4.481,5.756,2.34,2.366,2.339,2.351,2.351,2.413,4.041,4.596,2.292,2.358,2.337,2.305,2.315,2.373,3.339,3.416,2.351,2.36,2.343,2.328,2.354,2.336,10.741,10.894,2.461,2.354,2.318,2.294,2.343,2.358,5.069,5.476,2.31,2.297,2.296,2.32,2.365,2.342,4.252,4.508,2.309,2.293,2.311,2.319,2.302,2.303,3.332,3.603,2.381,2.327,2.301,2.286,2.378,2.413
