time,f3a.1,f3a.2,f3b.1,f3b.2,f3c.1,f3c.2,f3d.1,f3d.2,f5a.1,f5a.2,f5b.1,f5b.2,f5c.1,f5c.2,f5d.1,f5d.2,f6a.1,f6a.2,f6b.1,f6b.2,f6c.1,f6c.2,f6d.1,f6d.2
1,"5,239","5,331","3,174","4,649","2,635","4,386","2,885","4,606","3,213","4,898","2,931","4,414","2,940","4,559","2,894","4,867","3,276","5,160","3,611","3,481","4,361","4,923","4,019","4,986"
2,"6,620","7,429","3,564","3,606","2,913","3,563","2,770","2,807","3,454","4,298","2,879","3,141","2,842","3,013","2,732","2,822","3,596","3,763","2,922","3,082","2,812","2,922","2,756","2,891"
3,"9,500","9,839","4,795","4,631","3,499","4,685","2,825","2,866","4,125","5,206","3,068","3,468","2,971","3,188","2,794","2,868","4,572","4,600","3,191","3,379","2,992","3,101","2,820","2,977"
4,"13,318","12,659","5,965","5,678","4,091","5,826","2,882","2,924","4,828","6,267","3,272","3,800","3,115","3,375","2,847","2,925","5,540","5,592","3,471","3,681","3,169","3,294","2,875","3,042"
5,"17,057","16,164","7,123","6,704","4,759","6,973","2,949","2,992","5,519","7,323","3,475","4,130","3,264","3,572","2,919","2,992","6,486","6,568","3,750","3,986","3,351","3,497","2,936","3,120"
6,"20,217","19,404","8,241","7,722","5,300","8,065","3,023","3,067","6,192","8,354","3,676","4,467","3,417","3,774","2,992","3,062","7,405","7,517","4,027","4,282","3,531","3,694","3,003","3,201"
7,"22,602","22,280","9,325","8,674","5,832","9,128","3,103","3,150","6,844","9,342","3,875","4,792","3,570","3,975","3,066","3,141","8,296","8,430","4,292","4,583","3,710","3,890","3,075","3,290"
8,"24,407","24,894","10,385","9,620","6,354","10,159","3,190","3,241","7,466","10,299","4,079","5,121","3,724","4,179","3,161","3,226","9,172","9,309","4,561","4,888","3,889","4,099","3,156","3,386"
9,"24,914","26,493","11,358","10,522","6,842","11,159","3,285","3,336","8,062","11,190","4,284","5,441","3,881","4,386","3,246","3,319","9,966","10,131","4,818","5,186","4,065","4,307","3,243","3,489"
10,"25,230","27,622","12,287","11,387","7,310","12,093","3,387","3,438","8,631","12,022","4,481","5,756","4,041","4,596","3,339","3,416","10,741","10,894","5,069","5,476","4,252","4,508","3,332","3,603"
